Enter the date:
Enter the list of countries (end with an empty line):
Results:
Cambodia = 99300, 26 search operations, 4955 insert operations
Mexico = <Not found>, 20 search operations, 4955 insert operations
Sweden = 71257, 34 search operations, 4955 insert operations
Curacao = <Not found>, 11 search operations, 4955 insert operations
Belgium = 49443, 26 search operations, 4955 insert operations
Cambodia = 99300, 26 search operations, 4955 insert operations
Cyprus = 3434, 34 search operations, 4955 insert operations
Kenya = <Not found>, 22 search operations, 4955 insert operations
Iceland = <Not found>, 19 search operations, 4955 insert operations
Kosovo = 4496, 48 search operations, 4955 insert operations
Zambia = <Not found>, 14 search operations, 4955 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Comoros = 609, 24 search operations, 5946 insert operations
Switzerland = <Not found>, 15 search operations, 5946 insert operations
Grenada = 117, 34 search operations, 5946 insert operations
Taiwan = 337612, 16 search operations, 5946 insert operations
Panama = 19956, 42 search operations, 5946 insert operations
Israel = <Not found>, 23 search operations, 5946 insert operations
Antigua and Barbuda = <Not found>, 15 search operations, 5946 insert operations
Mongolia = 2987, 40 search operations, 5946 insert operations
Kiribati = <Not found>, 21 search operations, 5946 insert operations
Chad = <Not found>, 13 search operations, 5946 insert operations
Australia = 238946, 24 search operations, 5946 insert operations
Jamaica = <Not found>, 20 search operations, 5946 insert operations
High income = 4944355, 40 search operations, 5946 insert operations
Bangladesh = 854891, 26 search operations, 5946 insert operations
Cambodia = 99300, 26 search operations, 5946 insert operations
Mexico = <Not found>, 20 search operations, 5946 insert operations
Sweden = 71257, 34 search operations, 5946 insert operations
Curacao = <Not found>, 11 search operations, 5946 insert operations
Belgium = 49443, 26 search operations, 5946 insert operations
Cambodia = 99300, 26 search operations, 5946 insert operations
Cyprus = 3434, 34 search operations, 5946 insert operations
Kenya = <Not found>, 22 search operations, 5946 insert operations
Iceland = <Not found>, 19 search operations, 5946 insert operations
Kosovo = 4496, 48 search operations, 5946 insert operations
Zambia = 12751, 30 search operations, 5946 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Comoros = 609, 24 search operations, 6937 insert operations
Switzerland = 32433, 34 search operations, 6937 insert operations
Grenada = 117, 34 search operations, 6937 insert operations
Taiwan = 337612, 16 search operations, 6937 insert operations
Panama = 19956, 42 search operations, 6937 insert operations
Israel = <Not found>, 23 search operations, 6937 insert operations
Antigua and Barbuda = 91, 32 search operations, 6937 insert operations
Mongolia = 2987, 40 search operations, 6937 insert operations
Kiribati = <Not found>, 21 search operations, 6937 insert operations
Chad = 1229, 28 search operations, 6937 insert operations
Australia = 238946, 24 search operations, 6937 insert operations
Jamaica = 2774, 42 search operations, 6937 insert operations
High income = 4944355, 40 search operations, 6937 insert operations
Bangladesh = 854891, 26 search operations, 6937 insert operations
Cambodia = 99300, 26 search operations, 6937 insert operations
Mexico = <Not found>, 20 search operations, 6937 insert operations
Sweden = 71257, 34 search operations, 6937 insert operations
Curacao = 267, 26 search operations, 6937 insert operations
Belgium = 49443, 26 search operations, 6937 insert operations
Cambodia = 99300, 26 search operations, 6937 insert operations
Cyprus = 3434, 34 search operations, 6937 insert operations
Kenya = 62640, 46 search operations, 6937 insert operations
Iceland = <Not found>, 19 search operations, 6937 insert operations
Kosovo = 4496, 48 search operations, 6937 insert operations
Zambia = 12751, 30 search operations, 6937 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Comoros = 609, 24 search operations, 7928 insert operations
Switzerland = 32433, 34 search operations, 7928 insert operations
Grenada = 117, 34 search operations, 7928 insert operations
