Enter the date:
Enter the list of countries (end with an empty line):
Results:
Djibouti = <Not found>, 12 search operations, 3964 insert operations
Uruguay = <Not found>, 12 search operations, 3964 insert operations
Uruguay = <Not found>, 12 search operations, 3964 insert operations
Kenya = <Not found>, 18 search operations, 3964 insert operations
Pakistan = <Not found>, 16 search operations, 3964 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 46 search operations, 4955 insert operations
Romania = 17672, 30 search operations, 4955 insert operations
Trinidad and Tobago = <Not found>, 14 search operations, 4955 insert operations
Iran = <Not found>, 16 search operations, 4955 insert operations
Nicaragua = 31693, 50 search operations, 4955 insert operations
Guernsey = 65, 26 search operations, 4955 insert operations
Ireland = <Not found>, 20 search operations, 4955 insert operations
Germany = 300683, 36 search operations, 4955 insert operations
Liechtenstein = <Not found>, 27 search operations, 4955 insert operations
Guernsey = 65, 26 search operations, 4955 insert operations
Trinidad and Tobago = <Not found>, 14 search operations, 4955 insert operations
Europe = <Not found>, 11 search operations, 4955 insert operations
Armenia = <Not found>, 14 search operations, 4955 insert operations
High income = 4001294, 42 search operations, 4955 insert operations
Malta = 1764, 38 search operations, 4955 insert operations
South America = 2833576, 16 search operations, 4955 insert operations
Scotland = <Not found>, 17 search operations, 4955 insert operations
Madagascar = 5727, 42 search operations, 4955 insert operations
Portugal = <Not found>, 19 search operations, 4955 insert operations
Czechia = <Not found>, 12 search operations, 4955 insert operations
Spain = <Not found>, 16 search operations, 4955 insert operations
Portugal = <Not found>, 19 search operations, 4955 insert operations
Madagascar = 5727, 42 search operations, 4955 insert operations
Denmark = <Not found>, 16 search operations, 4955 insert operations
Norway = <Not found>, 23 search operations, 4955 insert operations
Djibouti = <Not found>, 12 search operations, 4955 insert operations
Uruguay = <Not found>, 13 search operations, 4955 insert operations
Uruguay = <Not found>, 13 search operations, 4955 insert operations
Kenya = <Not found>, 19 search operations, 4955 insert operations
Pakistan = <Not found>, 18 search operations, 4955 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 46 search operations, 5946 insert operations
Romania = 17672, 30 search operations, 5946 insert operations
Trinidad and Tobago = <Not found>, 15 search operations, 5946 insert operations
Iran = <Not found>, 16 search operations, 5946 insert operations
Nicaragua = 31693, 50 search operations, 5946 insert operations
